clinic,encounter,day,encounters
11100,4,2007-08-31,5
11100,4,2007-09-30,6
11100,4,2007-10-31,5
11100,4,2007-11-30,5
11100,4,2007-12-31,9
11100,4,2008-01-31,12
11100,4,2008-02-29,7
11100,4,2008-03-31,26
11100,4,2008-04-30,70
11100,4,2008-05-31,59
11100,4,2008-06-30,60
11100,4,2008-07-31,63
11100,4,2008-08-31,37
11100,4,2008-09-30,47
11100,4,2008-10-31,86
11100,4,2008-11-30,49
11100,4,2008-12-31,107
11100,4,2009-01-31,105
11100,4,2009-02-28,90
11100,4,2009-03-31,83
11100,4,2009-04-30,75
11100,4,2009-05-31,96
11100,4,2009-06-30,117
11100,4,2009-07-31,72
11100,4,2009-08-31,60
11100,4,2009-09-30,56
11100,4,2009-10-31,53
11100,4,2009-11-30,33
11100,4,2009-12-31,44
11100,4,2010-01-31,16
11100,4,2010-03-31,9
11100,4,2010-04-30,29
11100,4,2010-05-31,40
11100,4,2010-06-30,49
11100,4,2010-07-31,44
11100,4,2010-08-31,52
11100,4,2010-09-30,91
11100,4,2010-10-31,85
11100,4,2010-11-30,52
11100,4,2010-12-31,43
11100,4,2011-01-31,46
11100,4,2011-02-28,46
11100,4,2011-03-31,44
11100,4,2011-04-30,59
11100,4,2011-05-31,45
11100,4,2011-06-30,2
11100,4,2011-07-31,1
11100,4,2011-09-30,2
11100,4,2011-10-31,1
11100,4,2011-12-31,4
11100,4,2012-01-31,25
11100,4,2012-02-29,30
11100,5,2006-01-31,2
11100,5,2006-03-31,3
11100,5,2006-04-30,3
11100,5,2006-05-31,4
11100,5,2006-06-30,5
11100,5,2006-07-31,3
11100,5,2006-08-31,17
11100,5,2006-09-30,39
11100,5,2006-10-31,53
11100,5,2006-11-30,74
11100,5,2006-12-31,78
11100,5,2007-01-31,139
11100,5,2007-02-28,199
11100,5,2007-03-31,274
11100,5,2007-04-30,300
11100,5,2007-05-31,369
11100,5,2007-06-30,295
11100,5,2007-07-31,328
11100,5,2007-08-31,383
11100,5,2007-09-30,375
11100,5,2007-10-31,425
11100,5,2007-11-30,461
11100,5,2007-12-31,447
11100,5,2008-01-31,605
11100,5,2008-02-29,567
11100,5,2008-03-31,676
11100,5,2008-04-30,770
11100,5,2008-05-31,855
11100,5,2008-06-30,899
11100,5,2008-07-31,977
11100,5,2008-08-31,916
11100,5,2008-09-30,993
11100,5,2008-10-31,1148
11100,5,2008-11-30,1065
11100,5,2008-12-31,1195
11100,5,2009-01-31,1325
11100,5,2009-02-28,1226
11100,5,2009-03-31,1588
11100,5,2009-04-30,1482
11100,5,2009-05-31,1473
11100,5,2009-06-30,1424
11100,5,2009-07-31,1367
11100,5,2009-08-31,1275
11100,5,2009-09-30,1348
11100,5,2009-10-31,1381
11100,5,2009-11-30,1322
11100,5,2009-12-31,1294
11100,5,2010-01-31,510
11100,5,2010-02-28,793
11100,5,2010-03-31,1036
11100,5,2010-04-30,1159
11100,5,2010-05-31,1085
11100,5,2010-06-30,1149
11100,5,2010-07-31,1301
11100,5,2010-08-31,1247
11100,5,2010-09-30,1283
11100,5,2010-10-31,1464
11100,5,2010-11-30,1274
11100,5,2010-12-31,1419
11100,5,2011-01-31,1440
11100,5,2011-02-28,1307
11100,5,2011-03-31,1476
11100,5,2011-04-30,1316
11100,5,2011-05-31,1267
11100,5,2011-06-30,1195
11100,5,2011-07-31,1219
11100,5,2011-08-31,1229
11100,5,2011-09-30,1246
11100,5,2011-10-31,1134
11100,5,2011-11-30,1413
11100,5,2011-12-31,1286
11100,5,2012-01-31,1456
11100,5,2012-02-29,443
11100,6,2006-01-31,3
11100,6,2006-02-28,3
11100,6,2006-03-31,2
11100,6,2006-04-30,11
11100,6,2006-05-31,17
11100,6,2006-06-30,17
11100,6,2006-07-31,24
11100,6,2006-08-31,39
11100,6,2006-09-30,53
11100,6,2006-10-31,66
11100,6,2006-11-30,71
11100,6,2006-12-31,7
11100,6,2007-01-31,130
11100,6,2007-02-28,130
11100,6,2007-03-31,180
11100,6,2007-04-30,168
11100,6,2007-05-31,200
11100,6,2007-06-30,111
11100,6,2007-07-31,216
11100,6,2007-08-31,194
11100,6,2007-09-30,161
11100,6,2007-10-31,180
11100,6,2007-11-30,233
11100,6,2007-12-31,220
11100,6,2008-01-31,279
11100,6,2008-02-29,300
11100,6,2008-03-31,384
11100,6,2008-04-30,365
11100,6,2008-05-31,399
11100,6,2008-06-30,341
11100,6,2008-07-31,449
11100,6,2008-08-31,350
11100,6,2008-09-30,437
11100,6,2008-10-31,459
11100,6,2008-11-30,342
11100,6,2008-12-31,391
11100,6,2009-01-31,555
11100,6,2009-02-28,492
11100,6,2009-03-31,586
11100,6,2009-04-30,528
11100,6,2009-05-31,461
11100,6,2009-06-30,419
11100,6,2009-07-31,407
11100,6,2009-08-31,360
11100,6,2009-09-30,419
11100,6,2009-10-31,416
11100,6,2009-11-30,399
11100,6,2009-12-31,450
11100,6,2010-01-31,163
11100,6,2010-02-28,102
11100,6,2010-03-31,238
11100,6,2010-04-30,237
11100,6,2010-05-31,248
11100,6,2010-06-30,242
11100,6,2010-07-31,310
11100,6,2010-08-31,264
11100,6,2010-09-30,446
11100,6,2010-10-31,289
11100,6,2010-11-30,205
11100,6,2010-12-31,240
11100,6,2011-01-31,330
11100,6,2011-02-28,284
11100,6,2011-03-31,299
11100,6,2011-04-30,272
11100,6,2011-05-31,241
11100,6,2011-06-30,74
11100,6,2011-07-31,77
11100,6,2011-08-31,4
11100,6,2011-09-30,105
11100,6,2011-10-31,78
11100,6,2011-11-30,217
11100,6,2011-12-31,183
11100,6,2012-01-31,136
11100,6,2012-02-29,74
11100,7,2007-02-28,1
11100,7,2009-04-30,1
11100,7,2009-05-31,1
11100,7,2012-01-31,17
11100,7,2012-02-29,6
11100,9,2008-01-31,1
11100,9,2009-04-30,1
11100,10,2006-01-31,5
11100,10,2006-03-31,6
11100,10,2006-04-30,15
11100,10,2006-05-31,22
11100,10,2006-06-30,26
11100,10,2006-07-31,29
11100,10,2006-08-31,21
11100,10,2006-09-30,50
11100,10,2006-10-31,49
11100,10,2006-11-30,58
11100,10,2006-12-31,2
11100,10,2007-01-31,53
11100,10,2007-02-28,64
11100,10,2007-03-31,95
11100,10,2007-04-30,100
11100,10,2007-05-31,99
11100,10,2007-06-30,51
11100,10,2007-07-31,112
11100,10,2007-08-31,134
11100,10,2007-09-30,115
11100,10,2007-10-31,124
11100,10,2007-11-30,116
11100,10,2007-12-31,94
11100,10,2008-01-31,134
11100,10,2008-02-29,146
11100,10,2008-03-31,112
11100,10,2008-04-30,110
11100,10,2008-05-31,119
11100,10,2008-06-30,115
11100,10,2008-07-31,116
11100,10,2008-08-31,89
11100,10,2008-09-30,116
11100,10,2008-10-31,98
11100,10,2008-11-30,91
11100,10,2008-12-31,123
11100,10,2009-01-31,154
11100,10,2009-02-28,133
11100,10,2009-03-31,184
11100,10,2009-04-30,138
11100,10,2009-05-31,119
11100,10,2009-06-30,99
11100,10,2009-07-31,48
11100,10,2009-08-31,77
11100,10,2009-09-30,80
11100,10,2009-10-31,53
11100,10,2009-11-30,68
11100,10,2009-12-31,63
11100,10,2010-01-31,21
11100,10,2010-02-28,20
11100,10,2010-03-31,51
11100,10,2010-04-30,60
11100,10,2010-05-31,63
11100,10,2010-06-30,55
11100,10,2010-07-31,95
11100,10,2010-08-31,65
11100,10,2010-09-30,79
11100,10,2010-10-31,70
11100,10,2010-11-30,46
11100,10,2010-12-31,48
11100,10,2011-01-31,53
11100,10,2011-02-28,64
11100,10,2011-03-31,79
11100,10,2011-04-30,68
11100,10,2011-05-31,57
11100,10,2011-06-30,46
11100,10,2011-07-31,33
11100,10,2011-08-31,13
11100,10,2011-09-30,57
11100,10,2011-10-31,58
11100,10,2011-11-30,64
11100,10,2011-12-31,76
11100,10,2012-01-31,70
11100,10,2012-02-29,25
11100,11,2006-06-30,1
11100,11,2006-10-31,1
11100,11,2007-01-31,1
11100,11,2007-05-31,10
11100,11,2007-06-30,12
11100,11,2007-07-31,21
11100,11,2007-08-31,3
11100,11,2007-09-30,3
11100,11,2007-10-31,12
11100,11,2007-11-30,10
11100,11,2007-12-31,16
11100,11,2008-01-31,13
11100,11,2008-02-29,13
11100,11,2008-03-31,21
11100,11,2008-04-30,60
11100,11,2008-05-31,52
11100,11,2008-06-30,50
11100,11,2008-07-31,43
11100,11,2008-08-31,23
11100,11,2008-09-30,24
11100,11,2008-10-31,34
11100,11,2008-11-30,29
11100,11,2008-12-31,18
11100,11,2009-01-31,38
11100,11,2009-02-28,31
11100,11,2009-03-31,34
11100,11,2009-04-30,41
11100,11,2009-05-31,56
11100,11,2009-06-30,54
11100,11,2009-07-31,56
11100,11,2009-08-31,28
11100,11,2009-09-30,38
11100,11,2009-10-31,15
11100,11,2009-11-30,19
11100,11,2009-12-31,32
11100,11,2010-01-31,8
11100,11,2010-04-30,16
11100,11,2010-05-31,14
11100,11,2010-06-30,10
11100,11,2010-07-31,13
11100,11,2010-08-31,5
11100,11,2010-09-30,27
11100,11,2010-10-31,22
11100,11,2010-11-30,13
11100,11,2010-12-31,6
11100,11,2011-03-31,4
11100,11,2011-04-30,6
11100,11,2011-05-31,3
11100,11,2012-02-29,5
11100,12,2006-09-30,1
11100,12,2006-10-31,1
11100,12,2006-11-30,1
11100,12,2006-12-31,1
11100,12,2007-01-31,1
11100,12,2007-02-28,1
11100,12,2007-04-30,2
11100,12,2007-05-31,1
11100,12,2007-07-31,4
11100,12,2007-08-31,5
11100,12,2007-11-30,2
11100,12,2008-03-31,2
11100,12,2008-04-30,4
11100,12,2008-05-31,4
11100,12,2008-06-30,1
11100,12,2008-07-31,6
11100,12,2008-08-31,4
11100,12,2008-10-31,25
11100,12,2008-11-30,7
11100,12,2008-12-31,25
11100,12,2009-01-31,211
11100,12,2009-02-28,27
11100,12,2009-03-31,5
11100,12,2009-04-30,24
11100,12,2009-05-31,738
11100,12,2009-06-30,195
11100,12,2009-07-31,328
11100,12,2009-08-31,7
11100,12,2009-09-30,22
11100,12,2009-10-31,4
11100,12,2009-11-30,2
11100,12,2009-12-31,4
11100,12,2010-01-31,1
11100,12,2010-03-31,11
11100,12,2010-04-30,2
11100,12,2010-05-31,3
11100,12,2010-06-30,7
11100,12,2010-07-31,263
11100,12,2010-08-31,40
11100,12,2010-09-30,4
11100,12,2010-10-31,4
11100,12,2010-11-30,2
11100,12,2010-12-31,2
11100,12,2011-01-31,4
11100,12,2011-02-28,3
11100,12,2011-03-31,1
11100,12,2012-01-31,1
11100,14,2006-07-31,1
11100,14,2006-12-31,1
11100,14,2007-01-31,1
11100,14,2007-02-28,1
11100,14,2007-04-30,1
11100,14,2007-08-31,4
11100,14,2008-02-29,21
11100,14,2008-03-31,1
11100,14,2008-04-30,14
11100,14,2008-05-31,95
11100,14,2008-06-30,193
11100,14,2008-07-31,272
11100,14,2008-08-31,264
11100,14,2008-09-30,333
11100,14,2008-10-31,293
11100,14,2008-11-30,165
11100,14,2008-12-31,271
11100,14,2009-01-31,352
11100,14,2009-02-28,302
11100,14,2009-03-31,498
11100,14,2009-04-30,537
11100,14,2009-05-31,562
11100,14,2009-06-30,600
11100,14,2009-07-31,681
11100,14,2009-08-31,699
11100,14,2009-09-30,729
11100,14,2009-10-31,769
11100,14,2009-11-30,752
11100,14,2009-12-31,745
11100,14,2010-01-31,245
11100,14,2010-03-31,338
11100,14,2010-04-30,641
11100,14,2010-05-31,599
11100,14,2010-06-30,674
11100,14,2010-07-31,639
11100,14,2010-08-31,596
11100,14,2010-09-30,578
11100,14,2010-10-31,716
11100,14,2010-11-30,667
11100,14,2010-12-31,536
11100,14,2011-01-31,721
11100,14,2011-02-28,659
11100,14,2011-03-31,773
11100,14,2011-04-30,827
11100,14,2011-05-31,462
11100,14,2011-06-30,4
11100,14,2012-01-31,238
11100,14,2012-02-29,178
11100,15,2006-02-28,1
11100,15,2006-07-31,1
11100,15,2006-09-30,1
11100,15,2006-10-31,6
11100,15,2006-11-30,2
11100,15,2006-12-31,1
11100,15,2007-01-31,10
11100,15,2007-02-28,6
11100,15,2007-03-31,13
11100,15,2007-04-30,14
11100,15,2007-05-31,8
11100,15,2007-06-30,4
11100,15,2007-07-31,21
11100,15,2007-08-31,14
11100,15,2007-09-30,11
11100,15,2007-10-31,18
11100,15,2007-11-30,12
11100,15,2007-12-31,13
11100,15,2008-01-31,11
11100,15,2008-02-29,19
11100,15,2008-03-31,14
11100,15,2008-04-30,14
11100,15,2008-05-31,12
11100,15,2008-06-30,10
11100,15,2008-07-31,15
11100,15,2008-08-31,10
11100,15,2008-09-30,19
11100,15,2008-10-31,13
11100,15,2008-11-30,15
11100,15,2008-12-31,19
11100,15,2009-01-31,15
11100,15,2009-02-28,15
11100,15,2009-03-31,20
11100,15,2009-04-30,26
11100,15,2009-05-31,15
11100,15,2009-06-30,14
11100,15,2009-07-31,8
11100,15,2009-08-31,13
11100,15,2009-09-30,17
11100,15,2009-10-31,10
11100,15,2009-11-30,16
11100,15,2009-12-31,17
11100,15,2010-01-31,6
11100,15,2010-02-28,3
11100,15,2010-03-31,10
11100,15,2010-04-30,7
11100,15,2010-05-31,11
11100,15,2010-06-30,12
11100,15,2010-07-31,8
11100,15,2010-08-31,3
11100,15,2010-09-30,4
11100,15,2010-11-30,2
11100,15,2010-12-31,3
11100,15,2011-01-31,1
11100,15,2011-02-28,2
11100,15,2011-03-31,1
11100,15,2011-04-30,6
11100,15,2011-05-31,3
11100,15,2011-07-31,1
11100,15,2011-08-31,2
11100,15,2011-09-30,3
11100,15,2011-11-30,1
11100,15,2012-01-31,1
11100,15,2012-02-29,1
11100,16,2006-07-31,1
11100,16,2006-09-30,1
11100,16,2006-10-31,1
11100,16,2006-11-30,2
11100,16,2006-12-31,1
11100,16,2007-01-31,8
11100,16,2007-02-28,9
11100,16,2007-03-31,11
11100,16,2007-04-30,15
11100,16,2007-05-31,7
11100,16,2007-06-30,4
11100,16,2007-07-31,18
11100,16,2007-08-31,14
11100,16,2007-09-30,11
11100,16,2007-10-31,17
11100,16,2007-11-30,12
11100,16,2007-12-31,13
11100,16,2008-01-31,10
11100,16,2008-02-29,18
11100,16,2008-03-31,13
11100,16,2008-04-30,14
11100,16,2008-05-31,10
11100,16,2008-06-30,10
11100,16,2008-07-31,12
11100,16,2008-08-31,10
11100,16,2008-09-30,19
11100,16,2008-10-31,11
11100,16,2008-11-30,11
11100,16,2008-12-31,19
11100,16,2009-01-31,14
11100,16,2009-02-28,15
11100,16,2009-03-31,19
11100,16,2009-04-30,21
11100,16,2009-05-31,14
11100,16,2009-06-30,11
11100,16,2009-07-31,7
11100,16,2009-08-31,11
11100,16,2009-09-30,16
11100,16,2009-10-31,9
11100,16,2009-11-30,17
11100,16,2009-12-31,17
11100,16,2010-01-31,4
11100,16,2010-03-31,9
11100,16,2010-04-30,10
11100,16,2010-05-31,12
11100,16,2010-06-30,7
11100,16,2010-07-31,7
11100,16,2010-08-31,5
11100,16,2010-09-30,6
11100,16,2010-11-30,1
11100,16,2010-12-31,1
11100,16,2011-01-31,1
11100,16,2011-02-28,3
11100,16,2011-03-31,1
11100,16,2011-04-30,5
11100,16,2011-05-31,2
11100,16,2011-07-31,1
11100,16,2011-09-30,1
11100,16,2012-01-31,1
11100,16,2012-02-29,1
11100,17,2006-11-30,1
11100,17,2006-12-31,1
11100,17,2007-01-31,2
11100,17,2007-02-28,12
11100,17,2007-03-31,20
11100,17,2007-04-30,27
11100,17,2007-05-31,42
11100,17,2007-06-30,40
11100,17,2007-07-31,54
11100,17,2007-08-31,62
11100,17,2007-09-30,64
11100,17,2007-10-31,70
11100,17,2007-11-30,66
11100,17,2007-12-31,60
11100,17,2008-01-31,95
11100,17,2008-02-29,94
11100,17,2008-03-31,108
11100,17,2008-04-30,99
11100,17,2008-05-31,114
11100,17,2008-06-30,116
11100,17,2008-07-31,115
11100,17,2008-08-31,102
11100,17,2008-09-30,122
11100,17,2008-10-31,145
11100,17,2008-11-30,125
11100,17,2008-12-31,131
11100,17,2009-01-31,179
11100,17,2009-02-28,146
11100,17,2009-03-31,193
11100,17,2009-04-30,209
11100,17,2009-05-31,174
11100,17,2009-06-30,181
11100,17,2009-07-31,159
11100,17,2009-08-31,158
11100,17,2009-09-30,194
11100,17,2009-10-31,160
11100,17,2009-11-30,156
11100,17,2009-12-31,165
11100,17,2010-01-31,51
11100,17,2010-02-28,65
11100,17,2010-03-31,107
11100,17,2010-04-30,125
11100,17,2010-05-31,109
11100,17,2010-06-30,118
11100,17,2010-07-31,110
11100,17,2010-08-31,143
11100,17,2010-09-30,133
11100,17,2010-10-31,137
11100,17,2010-11-30,89
11100,17,2010-12-31,74
11100,17,2011-01-31,68
11100,17,2011-02-28,64
11100,17,2011-03-31,71
11100,17,2011-04-30,81
11100,17,2011-05-31,65
11100,17,2011-06-30,4
11100,17,2011-07-31,50
11100,17,2011-08-31,84
11100,17,2011-09-30,79
11100,17,2011-10-31,37
11100,17,2011-11-30,62
11100,17,2011-12-31,75
11100,17,2012-01-31,60
11100,17,2012-02-29,22
11100,18,2006-12-31,4
11100,18,2007-01-31,3
11100,18,2007-02-28,17
11100,18,2007-03-31,21
11100,18,2007-04-30,22
11100,18,2007-05-31,35
11100,18,2007-06-30,24
11100,18,2007-07-31,34
11100,18,2007-08-31,36
11100,18,2007-09-30,31
11100,18,2007-10-31,42
11100,18,2007-11-30,36
11100,18,2007-12-31,48
11100,18,2008-01-31,64
11100,18,2008-02-29,65
11100,18,2008-03-31,88
11100,18,2008-04-30,86
11100,18,2008-05-31,112
11100,18,2008-06-30,110
11100,18,2008-07-31,114
11100,18,2008-08-31,103
11100,18,2008-09-30,123
11100,18,2008-10-31,155
11100,18,2008-11-30,129
11100,18,2008-12-31,149
11100,18,2009-01-31,184
11100,18,2009-02-28,156
11100,18,2009-03-31,191
11100,18,2009-04-30,190
11100,18,2009-05-31,168
11100,18,2009-06-30,148
11100,18,2009-07-31,145
11100,18,2009-08-31,130
11100,18,2009-09-30,181
11100,18,2009-10-31,146
11100,18,2009-11-30,150
11100,18,2009-12-31,173
11100,18,2010-01-31,67
11100,18,2010-02-28,76
11100,18,2010-03-31,90
11100,18,2010-04-30,136
11100,18,2010-05-31,110
11100,18,2010-06-30,109
11100,18,2010-07-31,103
11100,18,2010-08-31,136
11100,18,2010-09-30,133
11100,18,2010-10-31,133
11100,18,2010-11-30,102
11100,18,2010-12-31,122
11100,18,2011-01-31,110
11100,18,2011-02-28,101
11100,18,2011-03-31,129
11100,18,2011-04-30,129
11100,18,2011-05-31,95
11100,18,2011-06-30,60
11100,18,2011-07-31,80
11100,18,2011-08-31,80
11100,18,2011-09-30,77
11100,18,2011-10-31,43
11100,18,2011-11-30,53
11100,18,2011-12-31,42
11100,18,2012-01-31,58
11100,18,2012-02-29,19
11100,19,2006-01-31,1
11100,19,2006-03-31,1
11100,19,2006-08-31,1
11100,19,2007-01-31,3
11100,19,2007-02-28,2
11100,19,2007-03-31,11
11100,19,2007-04-30,11
11100,19,2007-05-31,16
11100,19,2007-06-30,11
11100,19,2007-07-31,29
11100,19,2007-08-31,20
11100,19,2007-09-30,17
11100,19,2007-10-31,20
11100,19,2007-11-30,16
11100,19,2007-12-31,23
11100,19,2008-01-31,23
11100,19,2008-02-29,20
11100,19,2008-03-31,35
11100,19,2008-04-30,33
11100,19,2008-05-31,33
11100,19,2008-06-30,37
11100,19,2008-07-31,28
11100,19,2008-08-31,26
11100,19,2008-09-30,30
11100,19,2008-10-31,32
11100,19,2008-11-30,40
11100,19,2008-12-31,51
11100,19,2009-01-31,80
11100,19,2009-02-28,84
11100,19,2009-03-31,75
11100,19,2009-04-30,68
11100,19,2009-05-31,57
11100,19,2009-06-30,77
11100,19,2009-07-31,51
11100,19,2009-08-31,67
11100,19,2009-09-30,86
11100,19,2009-10-31,69
11100,19,2009-11-30,62
11100,19,2009-12-31,58
11100,19,2010-01-31,22
11100,19,2010-02-28,9
11100,19,2010-03-31,41
11100,19,2010-04-30,67
11100,19,2010-05-31,41
11100,19,2010-06-30,43
11100,19,2010-07-31,42
11100,19,2010-08-31,38
11100,19,2010-09-30,54
11100,19,2010-10-31,26
11100,19,2010-11-30,8
11100,19,2010-12-31,27
11100,19,2011-01-31,24
11100,19,2011-02-28,24
11100,19,2011-03-31,36
11100,19,2011-04-30,37
11100,19,2011-05-31,27
11100,19,2011-06-30,5
11100,19,2011-07-31,2
11100,19,2011-08-31,1
11100,19,2011-09-30,5
11100,19,2011-10-31,8
11100,19,2011-11-30,11
11100,19,2011-12-31,10
11100,19,2012-01-31,25
11100,19,2012-02-29,4
11100,20,2008-02-29,1
11100,20,2008-04-30,1
11100,20,2008-05-31,1
11100,20,2008-06-30,3
11100,20,2008-07-31,16
11100,20,2008-08-31,15
11100,20,2008-09-30,12
11100,20,2008-10-31,18
11100,20,2008-11-30,32
11100,20,2008-12-31,27
11100,20,2009-01-31,44
11100,20,2009-02-28,33
11100,20,2009-03-31,48
11100,20,2009-04-30,62
11100,20,2009-05-31,65
11100,20,2009-06-30,55
11100,20,2009-07-31,55
11100,20,2009-08-31,56
11100,20,2009-09-30,66
11100,20,2009-10-31,43
11100,20,2009-11-30,57
11100,20,2009-12-31,59
11100,20,2010-01-31,26
11100,20,2010-03-31,20
11100,20,2010-04-30,44
11100,20,2010-05-31,29
11100,20,2010-06-30,29
11100,20,2010-07-31,2
11100,20,2010-08-31,2
11100,20,2010-09-30,5
