Height	P1	P3	P15	P50	P85	P97	P99
69.3	6.998	7.244	7.744	8.423	9.185	9.876	10.269
69.4	7.017	7.264	7.765	8.445	9.209	9.903	10.297
69.5	7.036	7.283	7.785	8.468	9.234	9.929	10.325
69.6	7.054	7.302	7.806	8.491	9.259	9.956	10.352
69.7	7.073	7.322	7.827	8.513	9.284	9.983	10.380
69.8	7.091	7.341	7.847	8.536	9.309	10.010	10.408
69.9	7.110	7.360	7.868	8.558	9.333	10.036	10.436
70.0	7.128	7.379	7.889	8.581	9.358	10.063	10.464
70.1	7.147	7.398	7.909	8.603	9.382	10.089	10.491
70.2	7.165	7.418	7.930	8.626	9.407	10.116	10.519
70.3	7.184	7.437	7.950	8.648	9.431	10.142	10.547
70.4	7.202	7.456	7.971	8.670	9.456	10.169	10.574
70.5	7.220	7.475	7.991	8.693	9.480	10.195	10.602
70.6	7.239	7.494	8.011	8.715	9.505	10.222	10.630
70.7	7.257	7.513	8.032	8.737	9.529	10.248	10.657
70.8	7.275	7.531	8.052	8.759	9.554	10.274	10.684
70.9	7.293	7.550	8.072	8.782	9.578	10.301	10.712
71.0	7.311	7.569	8.092	8.804	9.602	10.327	10.739
71.1	7.329	7.588	8.112	8.826	9.626	10.353	10.766
71.2	7.348	7.607	8.133	8.848	9.650	10.379	10.794
71.3	7.366	7.625	8.153	8.870	9.675	10.405	10.821
71.4	7.384	7.644	8.173	8.892	9.699	10.431	10.848
71.5	7.402	7.663	8.193	8.914	9.723	10.457	10.875
71.6	7.419	7.681	8.213	8.935	9.747	10.483	10.902
71.7	7.437	7.700	8.233	8.957	9.771	10.509	10.929
71.8	7.455	7.718	8.252	8.979	9.794	10.535	10.956
71.9	7.473	7.737	8.272	9.000	9.818	10.560	10.983
72.0	7.491	7.755	8.292	9.022	9.842	10.586	11.009
72.1	7.508	7.773	8.312	9.044	9.866	10.612	11.036
72.2	7.526	7.792	8.331	9.065	9.889	10.637	11.063
72.3	7.543	7.810	8.351	9.086	9.913	10.663	11.089
72.4	7.561	7.828	8.370	9.108	9.936	10.688	11.116
72.5	7.578	7.846	8.390	9.129	9.960	10.713	11.142
72.6	7.596	7.864	8.409	9.150	9.983	10.738	11.168
72.7	7.613	7.882	8.429	9.172	10.006	10.763	11.195
72.8	7.630	7.900	8.448	9.193	10.029	10.789	11.221
72.9	7.648	7.918	8.467	9.214	10.052	10.813	11.247
73.0	7.665	7.936	8.486	9.235	10.075	10.838	11.273
73.1	7.682	7.954	8.505	9.256	10.098	10.863	11.299
73.2	7.699	7.971	8.524	9.277	10.121	10.888	11.325
73.3	7.716	7.989	8.543	9.297	10.144	10.913	11.351
73.4	7.733	8.007	8.562	9.318	10.167	10.938	11.376
73.5	7.750	8.025	8.581	9.339	10.190	10.962	11.402
73.6	7.767	8.042	8.600	9.360	10.213	10.987	11.428
73.7	7.784	8.060	8.619	9.380	10.235	11.011	11.453
73.8	7.801	8.077	8.638	9.401	10.258	11.036	11.479
73.9	7.818	8.095	8.657	9.422	10.280	11.060	11.504
74.0	7.834	8.112	8.675	9.442	10.303	11.085	11.530
74.1	7.851	8.129	8.694	9.462	10.325	11.109	11.555
74.2	7.868	8.147	8.713	9.483	10.348	11.133	11.580
74.3	7.885	8.164	8.731	9.503	10.370	11.157	11.605
74.4	7.901	8.181	8.750	9.524	10.392	11.182	11.631
74.5	7.918	8.199	8.768	9.544	10.415	11.206	11.656
74.6	7.934	8.216	8.787	9.564	10.437	11.229	11.681
74.7	7.951	8.233	8.805	9.584	10.459	11.253	11.706
74.8	7.967	8.250	8.824	9.604	10.481	11.277	11.730
74.9	7.984	8.267	8.842	9.624	10.503	11.301	11.755
75.0	8.000	8.284	8.860	9.644	10.525	11.324	11.780
75.1	8.016	8.301	8.878	9.664	10.547	11.348	11.805
75.2	8.033	8.317	8.896	9.684	10.568	11.372	11.829
75.3	8.049	8.334	8.914	9.703	10.590	11.395	11.853
75.4	8.065	8.351	8.932	9.723	10.611	11.418	11.877
75.5	8.081	8.368	8.950	9.742	10.633	11.441	11.901
75.6	8.097	8.384	8.968	9.762	10.654	11.464	11.926
75.7	8.113	8.401	8.986	9.781	10.675	11.487	11.950
75.8	8.129	8.417	9.003	9.801	10.697	11.510	11.973
75.9	8.145	8.434	9.021	9.820	10.718	11.533	11.997
76.0	8.161	8.450	9.039	9.839	10.739	11.556	12.021
76.1	8.176	8.466	9.056	9.858	10.760	11.578	12.044
76.2	8.192	8.483	9.073	9.877	10.781	11.601	12.068
76.3	8.208	8.499	9.091	9.896	10.801	11.623	12.091
76.4	8.223	8.515	9.108	9.915	10.822	11.646	12.115
76.5	8.239	8.531	9.126	9.934	10.843	11.668	12.138
76.6	8.254	8.547	9.143	9.953	10.863	11.690	12.161
76.7	8.270	8.563	9.160	9.972	10.884	11.712	12.184
76.8	8.285	8.579	9.177	9.990	10.904	11.734	12.207
76.9	8.300	8.595	9.194	10.009	10.924	11.756	12.230
77.0	8.316	8.611	9.211	10.027	10.945	11.778	12.252
77.1	8.331	8.627	9.228	10.046	10.965	11.800	12.275
77.2	8.346	8.643	9.245	10.064	10.985	11.821	12.298
77.3	8.361	8.658	9.262	10.083	11.005	11.843	12.320
77.4	8.377	8.674	9.279	10.101	11.025	11.865	12.343
77.5	8.392	8.690	9.295	10.119	11.045	11.886	12.365
77.6	8.407	8.706	9.312	10.138	11.065	11.908	12.387
77.7	8.422	8.721	9.329	10.156	11.085	11.929	12.410
77.8	8.437	8.737	9.346	10.174	11.105	11.950	12.432
77.9	8.452	8.753	9.363	10.192	11.125	11.972	12.454
78.0	8.468	8.768	9.379	10.210	11.145	11.993	12.476
78.1	8.483	8.784	9.396	10.229	11.164	12.014	12.498
78.2	8.498	8.800	9.413	10.247	11.184	12.035	12.520
78.3	8.513	8.815	9.429	10.265	11.204	12.057	12.542
78.4	8.528	8.831	9.446	10.283	11.224	12.078	12.564
78.5	8.543	8.847	9.463	10.301	11.243	12.099	12.586
78.6	8.558	8.862	9.480	10.319	11.263	12.120	12.608
78.7	8.574	8.878	9.496	10.338	11.283	12.141	12.630
78.8	8.589	8.894	9.513	10.356	11.303	12.163	12.652
78.9	8.604	8.910	9.530	10.374	11.323	12.184	12.674
79.0	8.619	8.925	9.547	10.392	11.342	12.205	12.696
79.1	8.635	8.941	9.564	10.411	11.362	12.226	12.718
79.2	8.650	8.957	9.581	10.429	11.382	12.248	12.741
79.3	8.666	8.973	9.598	10.448	11.402	12.269	12.763
79.4	8.681	8.989	9.615	10.466	11.422	12.291	12.785
79.5	8.697	9.006	9.632	10.484	11.442	12.312	12.807
79.6	8.713	9.022	9.649	10.503	11.462	12.333	12.829
79.7	8.728	9.038	9.666	10.522	11.483	12.355	12.852
79.8	8.744	9.054	9.684	10.540	11.503	12.377	12.874
79.9	8.760	9.071	9.701	10.559	11.523	12.398	12.897
80.0	8.776	9.087	9.719	10.578	11.543	12.420	12.919
80.1	8.792	9.103	9.736	10.597	11.564	12.442	12.942
80.2	8.808	9.120	9.754	10.616	11.585	12.464	12.964
80.3	8.824	9.137	9.772	10.635	11.605	12.486	12.987
80.4	8.841	9.154	9.790	10.654	11.626	12.508	13.010
80.5	8.857	9.171	9.807	10.674	11.647	12.530	13.033
80.6	8.873	9.188	9.825	10.693	11.668	12.553	13.056
80.7	8.890	9.205	9.844	10.713	11.689	12.575	13.079
80.8	8.907	9.222	9.862	10.732	11.710	12.597	13.103
80.9	8.923	9.239	9.880	10.752	11.731	12.620	13.126
81.0	8.940	9.257	9.899	10.772	11.752	12.643	13.149
81.1	8.957	9.274	9.917	10.792	11.774	12.666	13.173
81.2	8.974	9.292	9.936	10.812	11.796	12.689	13.197
81.3	8.992	9.309	9.955	10.832	11.817	12.712	13.221
81.4	9.009	9.327	9.974	10.852	11.839	12.735	13.245
81.5	9.026	9.345	9.993	10.873	11.861	12.758	13.269
81.6	9.044	9.363	10.012	10.893	11.883	12.782	13.293
81.7	9.062	9.382	10.031	10.914	11.906	12.806	13.318
81.8	9.080	9.400	10.051	10.935	11.928	12.829	13.342
81.9	9.097	9.418	10.070	10.956	11.951	12.853	13.367
82.0	9.116	9.437	10.090	10.977	11.973	12.878	13.392
82.1	9.134	9.456	10.110	10.998	11.996	12.902	13.417
82.2	9.152	9.475	10.130	11.020	12.019	12.926	13.442
82.3	9.171	9.494	10.150	11.042	12.042	12.951	13.467
82.4	9.189	9.513	10.170	11.063	12.066	12.976	13.493
82.5	9.208	9.532	10.190	11.085	12.089	13.001	13.519
82.6	9.227	9.552	10.211	11.107	12.113	13.026	13.545
82.7	9.246	9.571	10.232	11.129	12.137	13.051	13.571
82.8	9.265	9.591	10.253	11.152	12.161	13.076	13.597
82.9	9.285	9.611	10.273	11.174	12.185	13.101	13.623
83.0	9.304	9.631	10.295	11.197	12.209	13.127	13.649
83.1	9.323	9.651	10.316	11.219	12.233	13.153	13.676
83.2	9.343	9.671	10.337	11.242	12.258	13.179	13.703
83.3	9.363	9.692	10.359	11.265	12.282	13.205	13.730
83.4	9.383	9.712	10.380	11.288	12.307	13.231	13.757
83.5	9.403	9.732	10.402	11.311	12.332	13.257	13.784
83.6	9.423	9.753	10.424	11.335	12.357	13.284	13.811
83.7	9.443	9.774	10.445	11.358	12.382	13.310	13.838
83.8	9.463	9.795	10.468	11.382	12.407	13.337	13.866
83.9	9.484	9.816	10.490	11.405	12.432	13.364	13.894
84.0	9.504	9.837	10.512	11.429	12.458	13.391	13.921
84.1	9.525	9.858	10.534	11.453	12.483	13.418	13.949
84.2	9.545	9.879	10.557	11.477	12.509	13.445	13.977
84.3	9.566	9.900	10.579	11.501	12.535	13.472	14.005
84.4	9.587	9.922	10.601	11.525	12.560	13.499	14.033
84.5	9.607	9.943	10.624	11.549	12.586	13.527	14.061
84.6	9.628	9.965	10.647	11.573	12.612	13.554	14.089
84.7	9.649	9.986	10.670	11.598	12.638	13.581	14.117
84.8	9.670	10.008	10.692	11.622	12.664	13.609	14.146
84.9	9.691	10.029	10.715	11.646	12.690	13.636	14.174
85.0	9.712	10.051	10.738	11.671	12.716	13.664	14.203
85.1	9.734	10.073	10.761	11.695	12.743	13.692	14.231
85.2	9.755	10.095	10.784	11.720	12.769	13.719	14.260
85.3	9.776	10.117	10.807	11.744	12.795	13.747	14.289
85.4	9.798	10.138	10.830	11.769	12.822	13.775	14.317
85.5	9.819	10.160	10.853	11.794	12.848	13.803	14.346
85.6	9.840	10.182	10.876	11.818	12.874	13.831	14.375
85.7	9.861	10.204	10.899	11.843	12.901	13.859	14.404
85.8	9.883	10.226	10.922	11.868	12.927	13.887	14.433
85.9	9.904	10.248	10.946	11.893	12.954	13.915	14.462
86.0	9.925	10.270	10.969	11.917	12.980	13.943	14.490
86.1	9.947	10.292	10.992	11.942	13.007	13.971	14.520
86.2	9.968	10.314	11.015	11.967	13.033	13.999	14.548
86.3	9.989	10.336	11.038	11.992	13.060	14.027	14.577
86.4	10.011	10.358	11.061	12.016	13.086	14.055	14.606
86.5	10.032	10.380	11.084	12.041	13.113	14.084	14.635
86.6	10.053	10.401	11.108	12.066	13.139	14.112	14.664
86.7	10.074	10.423	11.131	12.090	13.166	14.140	14.693
86.8	10.096	10.445	11.154	12.115	13.192	14.168	14.722
86.9	10.117	10.467	11.177	12.140	13.219	14.196	14.751
87.0	10.138	10.489	11.200	12.164	13.245	14.224	14.780
87.1	10.159	10.511	11.223	12.189	13.272	14.252	14.808
87.2	10.180	10.532	11.246	12.214	13.298	14.279	14.837
87.3	10.201	10.554	11.268	12.238	13.324	14.308	14.866
87.4	10.222	10.575	11.291	12.263	13.351	14.335	14.895
87.5	10.243	10.597	11.314	12.287	13.377	14.363	14.923
87.6	10.264	10.619	11.337	12.312	13.403	14.391	14.952
87.7	10.285	10.640	11.360	12.336	13.429	14.419	14.981
87.8	10.306	10.662	11.382	12.360	13.455	14.447	15.010
87.9	10.327	10.683	11.405	12.385	13.481	14.474	15.038
88.0	10.348	10.704	11.428	12.409	13.508	14.502	15.067
88.1	10.368	10.726	11.450	12.433	13.534	14.530	15.096
88.2	10.389	10.747	11.473	12.457	13.560	14.557	15.124
88.3	10.409	10.768	11.495	12.482	13.586	14.585	15.153
88.4	10.430	10.789	11.518	12.506	13.612	14.613	15.181
88.5	10.451	10.811	11.540	12.530	13.638	14.640	15.210
88.6	10.471	10.832	11.563	12.554	13.663	14.668	15.238
88.7	10.492	10.853	11.585	12.578	13.689	14.695	15.267
88.8	10.512	10.874	11.607	12.602	13.715	14.723	15.295
88.9	10.532	10.895	11.629	12.626	13.741	14.750	15.324
89.0	10.553	10.916	11.652	12.650	13.767	14.778	15.352
89.1	10.573	10.937	11.674	12.673	13.792	14.805	15.380
89.2	10.593	10.957	11.696	12.697	13.818	14.832	15.408
89.3	10.613	10.978	11.718	12.721	13.844	14.860	15.437
89.4	10.633	10.999	11.740	12.745	13.869	14.887	15.465
89.5	10.653	11.020	11.762	12.768	13.895	14.914	15.493
89.6	10.673	11.040	11.784	12.792	13.921	14.942	15.522
89.7	10.693	11.061	11.806	12.816	13.946	14.969	15.549
89.8	10.713	11.082	11.828	12.839	13.971	14.996	15.578
89.9	10.733	11.102	11.849	12.863	13.997	15.023	15.606
90.0	10.753	11.123	11.871	12.886	14.023	15.050	15.634
90.1	10.773	11.143	11.893	12.910	14.048	15.078	15.662
90.2	10.793	11.164	11.915	12.933	14.073	15.105	15.690
90.3	10.813	11.184	11.936	12.957	14.099	15.132	15.719
90.4	10.832	11.204	11.958	12.980	14.124	15.159	15.747
90.5	10.852	11.225	11.980	13.004	14.150	15.186	15.775
90.6	10.872	11.245	12.002	13.027	14.175	15.213	15.803
90.7	10.892	11.266	12.023	13.051	14.201	15.241	15.831
90.8	10.911	11.286	12.045	13.074	14.226	15.268	15.860
90.9	10.931	11.306	12.067	13.098	14.251	15.295	15.888
91.0	10.951	11.327	12.088	13.121	14.277	15.322	15.916
91.1	10.970	11.347	12.110	13.144	14.302	15.349	15.944
91.2	10.990	11.367	12.131	13.168	14.328	15.377	15.973
91.3	11.009	11.387	12.153	13.191	14.353	15.404	16.001
91.4	11.029	11.407	12.174	13.214	14.378	15.431	16.029
91.5	11.048	11.427	12.196	13.238	14.403	15.458	16.057
91.6	11.068	11.448	12.217	13.261	14.429	15.485	16.085
91.7	11.087	11.468	12.239	13.284	14.454	15.513	16.114
91.8	11.106	11.488	12.260	13.308	14.480	15.540	16.142
91.9	11.126	11.508	12.282	13.331	14.505	15.567	16.170
92.0	11.145	11.528	12.303	13.354	14.530	15.594	16.199
92.1	11.165	11.548	12.324	13.377	14.556	15.622	16.227
92.2	11.184	11.568	12.346	13.401	14.581	15.649	16.256
92.3	11.203	11.588	12.367	13.424	14.606	15.676	16.284
92.4	11.222	11.608	12.389	13.447	14.632	15.704	16.312
92.5	11.242	11.628	12.410	13.470	14.657	15.731	16.341
92.6	11.261	11.648	12.431	13.494	14.683	15.758	16.369
92.7	11.281	11.668	12.453	13.517	14.708	15.786	16.398
92.8	11.300	11.688	12.474	13.540	14.734	15.813	16.426
92.9	11.319	11.708	12.495	13.564	14.759	15.841	16.455
93.0	11.338	11.728	12.517	13.587	14.785	15.868	16.484
93.1	11.357	11.748	12.538	13.610	14.810	15.896	16.512
93.2	11.377	11.768	12.560	13.634	14.836	15.924	16.541
93.3	11.396	11.788	12.581	13.657	14.862	15.951	16.570
93.4	11.415	11.808	12.603	13.681	14.887	15.979	16.599
93.5	11.435	11.828	12.624	13.704	14.913	16.007	16.628
93.6	11.454	11.848	12.645	13.728	14.939	16.034	16.657
93.7	11.473	11.868	12.667	13.751	14.964	16.062	16.686
93.8	11.492	11.888	12.689	13.775	14.990	16.090	16.715
93.9	11.512	11.908	12.710	13.798	15.016	16.118	16.744
94.0	11.531	11.928	12.732	13.822	15.042	16.146	16.773
94.1	11.550	11.948	12.753	13.845	15.068	16.174	16.803
94.2	11.570	11.968	12.775	13.869	15.094	16.203	16.832
94.3	11.589	11.988	12.796	13.893	15.120	16.231	16.861
94.4	11.609	12.008	12.818	13.916	15.146	16.259	16.891
94.5	11.628	12.028	12.840	13.940	15.172	16.287	16.921
94.6	11.648	12.049	12.862	13.964	15.199	16.316	16.950
94.7	11.667	12.069	12.883	13.988	15.225	16.344	16.980
94.8	11.686	12.089	12.905	14.012	15.251	16.373	17.010
94.9	11.706	12.109	12.927	14.036	15.278	16.402	17.040
95.0	11.725	12.130	12.949	14.060	15.304	16.430	17.070
95.1	11.745	12.150	12.971	14.084	15.331	16.459	17.100
95.2	11.765	12.170	12.993	14.108	15.357	16.488	17.130
95.3	11.784	12.191	13.015	14.132	15.384	16.517	17.161
95.4	11.804	12.211	13.037	14.157	15.411	16.546	17.191
95.5	11.824	12.232	13.059	14.181	15.438	16.575	17.222
95.6	11.843	12.252	13.081	14.206	15.465	16.605	17.252
95.7	11.863	12.273	13.103	14.230	15.492	16.634	17.283
95.8	11.883	12.293	13.125	14.254	15.519	16.663	17.314
95.9	11.903	12.314	13.148	14.279	15.546	16.693	17.345
96.0	11.923	12.335	13.170	14.304	15.573	16.723	17.376
96.1	11.942	12.355	13.193	14.328	15.601	16.753	17.407
96.2	11.962	12.376	13.215	14.353	15.628	16.783	17.439
96.3	11.982	12.397	13.238	14.378	15.656	16.813	17.470
96.4	12.003	12.418	13.260	14.403	15.683	16.843	17.501
96.5	12.023	12.439	13.283	14.428	15.711	16.873	17.533
96.6	12.043	12.460	13.306	14.453	15.739	16.903	17.565
96.7	12.063	12.481	13.328	14.478	15.767	16.934	17.597
96.8	12.083	12.502	13.351	14.504	15.795	16.964	17.629
96.9	12.104	12.523	13.374	14.529	15.823	16.995	17.661
97.0	12.124	12.545	13.397	14.555	15.851	17.026	17.693
97.1	12.144	12.566	13.420	14.580	15.880	17.057	17.726
97.2	12.165	12.587	13.443	14.606	15.908	17.088	17.759
97.3	12.186	12.609	13.467	14.632	15.937	17.119	17.791
97.4	12.206	12.630	13.490	14.657	15.965	17.150	17.824
97.5	12.227	12.652	13.513	14.683	15.994	17.182	17.857
97.6	12.248	12.673	13.537	14.709	16.023	17.213	17.890
97.7	12.268	12.695	13.560	14.735	16.052	17.245	17.924
97.8	12.289	12.717	13.584	14.761	16.081	17.277	17.957
97.9	12.310	12.739	13.608	14.788	16.111	17.309	17.990
98.0	12.331	12.760	13.631	14.814	16.140	17.341	18.024
98.1	12.352	12.782	13.655	14.840	16.169	17.373	18.058
98.2	12.373	12.804	13.679	14.867	16.199	17.406	18.092
98.3	12.394	12.826	13.703	14.893	16.228	17.438	18.125
98.4	12.415	12.848	13.727	14.920	16.258	17.470	18.160
98.5	12.436	12.871	13.751	14.947	16.288	17.503	18.194
98.6	12.458	12.893	13.775	14.974	16.318	17.536	18.228
98.7	12.479	12.915	13.799	15.000	16.348	17.569	18.263
98.8	12.500	12.937	13.824	15.028	16.378	17.602	18.298
98.9	12.522	12.960	13.848	15.055	16.408	17.635	18.333
99.0	12.543	12.982	13.872	15.082	16.438	17.668	18.368
99.1	12.565	13.005	13.897	15.109	16.469	17.701	18.402
99.2	12.586	13.027	13.921	15.136	16.499	17.735	18.438
99.3	12.608	13.050	13.946	15.164	16.530	17.769	18.473
99.4	12.630	13.072	13.971	15.191	16.561	17.802	18.509
99.5	12.651	13.095	13.995	15.219	16.591	17.836	18.544
99.6	12.673	13.118	14.020	15.246	16.622	17.870	18.580
99.7	12.695	13.141	14.045	15.274	16.653	17.904	18.616
99.8	12.717	13.163	14.070	15.302	16.684	17.938	18.652
99.9	12.739	13.186	14.095	15.330	16.715	17.972	18.688
100.0	12.760	13.209	14.120	15.358	16.747	18.007	18.724
100.1	12.783	13.232	14.145	15.386	16.778	18.041	18.760
100.2	12.805	13.255	14.170	15.414	16.810	18.076	18.797
100.3	12.827	13.278	14.195	15.442	16.841	18.111	18.833
100.4	12.849	13.302	14.221	15.470	16.873	18.145	18.870
100.5	12.871	13.325	14.246	15.498	16.905	18.180	18.907
100.6	12.893	13.348	14.271	15.527	16.936	18.215	18.943
100.7	12.915	13.371	14.297	15.555	16.968	18.251	18.981
100.8	12.938	13.395	14.322	15.584	17.000	18.286	19.018
100.9	12.960	13.418	14.348	15.612	17.033	18.321	19.055
101.0	12.983	13.442	14.374	15.641	17.065	18.357	19.093
101.1	13.005	13.465	14.399	15.670	17.097	18.392	19.129
101.2	13.027	13.489	14.425	15.699	17.129	18.428	19.168
101.3	13.050	13.512	14.451	15.728	17.162	18.464	19.205
101.4	13.073	13.536	14.477	15.757	17.194	18.500	19.243
101.5	13.095	13.560	14.503	15.786	17.227	18.536	19.281
101.6	13.118	13.583	14.529	15.815	17.260	18.572	19.319
101.7	13.141	13.607	14.555	15.844	17.292	18.608	19.357
101.8	13.164	13.631	14.581	15.873	17.325	18.644	19.395
101.9	13.187	13.655	14.607	15.903	17.358	18.681	19.433
102.0	13.209	13.679	14.633	15.932	17.392	18.717	19.472
102.1	13.232	13.703	14.660	15.962	17.425	18.754	19.511
102.2	13.255	13.727	14.686	15.991	17.458	18.790	19.549
102.3	13.278	13.751	14.712	16.021	17.491	18.827	19.588
102.4	13.301	13.775	14.739	16.050	17.525	18.864	19.627
102.5	13.324	13.800	14.765	16.080	17.558	18.901	19.666
102.6	13.348	13.824	14.792	16.110	17.592	18.938	19.705
102.7	13.371	13.848	14.819	16.140	17.625	18.975	19.745
102.8	13.394	13.873	14.845	16.170	17.659	19.012	19.784
102.9	13.417	13.897	14.872	16.200	17.693	19.050	19.823
103.0	13.441	13.922	14.899	16.230	17.727	19.087	19.863
103.1	13.464	13.946	14.926	16.260	17.761	19.125	19.902
103.2	13.487	13.971	14.953	16.290	17.795	19.163	19.942
103.3	13.511	13.995	14.980	16.320	17.829	19.200	19.981
103.4	13.534	14.020	15.007	16.351	17.863	19.238	20.022
103.5	13.558	14.045	15.034	16.381	17.897	19.276	20.061
103.6	13.581	14.069	15.061	16.412	17.932	19.314	20.102
103.7	13.605	14.094	15.088	16.442	17.966	19.352	20.142
103.8	13.629	14.119	15.115	16.473	18.001	19.390	20.182
103.9	13.652	14.144	15.143	16.504	18.035	19.428	20.223
104.0	13.676	14.169	15.170	16.534	18.070	19.467	20.263
104.1	13.700	14.194	15.197	16.565	18.105	19.505	20.304
104.2	13.724	14.219	15.225	16.596	18.139	19.544	20.344
104.3	13.748	14.244	15.252	16.627	18.174	19.582	20.385
104.4	13.772	14.269	15.280	16.658	18.209	19.621	20.426
104.5	13.796	14.294	15.308	16.689	18.244	19.660	20.467
104.6	13.820	14.319	15.335	16.720	18.280	19.699	20.508
104.7	13.844	14.345	15.363	16.751	18.315	19.738	20.549
104.8	13.868	14.370	15.391	16.783	18.350	19.777	20.590
104.9	13.892	14.395	15.419	16.814	18.385	19.816	20.632
105.0	13.916	14.421	15.447	16.845	18.421	19.856	20.674
105.1	13.941	14.446	15.475	16.877	18.456	19.895	20.715
105.2	13.965	14.472	15.503	16.908	18.492	19.934	20.757
105.3	13.989	14.497	15.531	16.940	18.528	19.974	20.799
105.4	14.014	14.523	15.559	16.972	18.564	20.014	20.841
105.5	14.039	14.549	15.587	17.004	18.600	20.053	20.882
105.6	14.063	14.575	15.616	17.036	18.636	20.093	20.925
105.7	14.088	14.600	15.644	17.067	18.672	20.133	20.967
105.8	14.112	14.626	15.672	17.100	18.708	20.173	21.010
105.9	14.137	14.652	15.701	17.132	18.744	20.214	21.052
106.0	14.162	14.678	15.729	17.164	18.781	20.254	21.095
106.1	14.186	14.704	15.758	17.196	18.817	20.295	21.138
106.2	14.211	14.730	15.787	17.228	18.854	20.335	21.180
106.3	14.236	14.757	15.816	17.261	18.890	20.375	21.223
106.4	14.261	14.783	15.844	17.293	18.927	20.416	21.266
106.5	14.286	14.809	15.873	17.326	18.964	20.457	21.309
106.6	14.311	14.835	15.902	17.358	19.001	20.498	21.353
106.7	14.336	14.862	15.931	17.391	19.038	20.539	21.396
106.8	14.361	14.888	15.960	17.424	19.075	20.581	21.440
106.9	14.386	14.914	15.989	17.456	19.112	20.622	21.484
107.0	14.411	14.941	16.018	17.489	19.149	20.663	21.528
107.1	14.437	14.967	16.047	17.522	19.187	20.705	21.571
107.2	14.462	14.994	16.077	17.555	19.224	20.746	21.615
107.3	14.487	15.021	16.106	17.588	19.262	20.788	21.659
107.4	14.513	15.047	16.135	17.622	19.299	20.829	21.703
107.5	14.538	15.074	16.165	17.655	19.337	20.871	21.748
107.6	14.564	15.101	16.194	17.688	19.375	20.914	21.793
107.7	14.589	15.128	16.224	17.722	19.413	20.956	21.837
107.8	14.615	15.155	16.254	17.755	19.451	20.998	21.882
107.9	14.641	15.182	16.283	17.789	19.489	21.040	21.926
108.0	14.666	15.209	16.313	17.823	19.527	21.083	21.972
108.1	14.692	15.236	16.343	17.856	19.566	21.125	22.017
108.2	14.718	15.263	16.373	17.890	19.604	21.168	22.062
108.3	14.744	15.290	16.403	17.924	19.642	21.211	22.107
108.4	14.770	15.318	16.433	17.958	19.681	21.254	22.153
108.5	14.796	15.345	16.463	17.992	19.720	21.297	22.198
