Height	P1	P3	P15	P50	P85	P97	P99
68.8	6.579	6.832	7.349	8.060	8.870	9.616	10.044
68.9	6.596	6.850	7.368	8.081	8.893	9.640	10.070
69.0	6.613	6.867	7.386	8.101	8.915	9.664	10.095
69.1	6.630	6.885	7.405	8.122	8.938	9.689	10.121
69.2	6.647	6.902	7.424	8.142	8.960	9.713	10.146
69.3	6.664	6.920	7.443	8.163	8.983	9.738	10.171
69.4	6.681	6.937	7.462	8.184	9.005	9.762	10.197
69.5	6.698	6.955	7.481	8.204	9.028	9.786	10.222
69.6	6.715	6.972	7.499	8.224	9.050	9.810	10.247
69.7	6.732	6.990	7.518	8.245	9.072	9.834	10.272
69.8	6.748	7.007	7.537	8.265	9.095	9.858	10.297
69.9	6.765	7.025	7.555	8.286	9.117	9.882	10.322
70.0	6.782	7.042	7.574	8.306	9.139	9.906	10.347
70.1	6.799	7.059	7.593	8.326	9.161	9.930	10.372
70.2	6.816	7.077	7.611	8.346	9.184	9.954	10.397
70.3	6.832	7.094	7.630	8.367	9.206	9.978	10.422
70.4	6.849	7.111	7.648	8.387	9.228	10.002	10.447
70.5	6.866	7.129	7.667	8.407	9.250	10.026	10.472
70.6	6.882	7.146	7.685	8.427	9.272	10.050	10.497
70.7	6.899	7.163	7.704	8.447	9.294	10.073	10.521
70.8	6.916	7.180	7.722	8.468	9.316	10.097	10.546
70.9	6.932	7.198	7.741	8.488	9.338	10.121	10.571
71.0	6.949	7.215	7.759	8.508	9.360	10.145	10.595
71.1	6.965	7.232	7.777	8.528	9.382	10.168	10.620
71.2	6.982	7.249	7.796	8.548	9.404	10.192	10.645
71.3	6.999	7.266	7.814	8.568	9.426	10.215	10.669
71.4	7.015	7.283	7.833	8.588	9.448	10.239	10.694
71.5	7.031	7.300	7.851	8.608	9.470	10.263	10.718
71.6	7.048	7.317	7.869	8.628	9.491	10.286	10.743
71.7	7.064	7.334	7.887	8.648	9.513	10.310	10.767
71.8	7.081	7.352	7.905	8.667	9.535	10.333	10.791
71.9	7.097	7.368	7.924	8.687	9.557	10.356	10.816
72.0	7.113	7.385	7.942	8.707	9.578	10.380	10.840
72.1	7.130	7.402	7.960	8.727	9.600	10.403	10.864
72.2	7.146	7.419	7.978	8.746	9.621	10.426	10.888
72.3	7.162	7.436	7.996	8.766	9.643	10.449	10.913
72.4	7.178	7.453	8.014	8.786	9.664	10.472	10.937
72.5	7.195	7.470	8.032	8.805	9.686	10.495	10.961
72.6	7.211	7.486	8.050	8.825	9.707	10.518	10.985
72.7	7.227	7.503	8.068	8.844	9.728	10.541	11.009
72.8	7.243	7.520	8.086	8.864	9.750	10.564	11.033
72.9	7.259	7.536	8.103	8.883	9.771	10.587	11.056
73.0	7.275	7.553	8.121	8.902	9.792	10.610	11.080
73.1	7.291	7.569	8.139	8.922	9.813	10.633	11.104
73.2	7.307	7.586	8.156	8.941	9.834	10.655	11.127
73.3	7.323	7.602	8.174	8.960	9.855	10.678	11.151
73.4	7.339	7.619	8.191	8.979	9.876	10.700	11.174
73.5	7.354	7.635	8.209	8.998	9.897	10.723	11.198
73.6	7.370	7.651	8.226	9.017	9.917	10.745	11.221
73.7	7.386	7.668	8.244	9.036	9.938	10.767	11.244
73.8	7.402	7.684	8.261	9.055	9.959	10.790	11.267
73.9	7.417	7.700	8.278	9.074	9.979	10.812	11.290
74.0	7.433	7.716	8.296	9.093	10.000	10.834	11.313
74.1	7.448	7.732	8.313	9.112	10.020	10.856	11.336
74.2	7.464	7.748	8.330	9.130	10.041	10.878	11.359
74.3	7.479	7.764	8.347	9.149	10.061	10.900	11.382
74.4	7.495	7.780	8.364	9.168	10.082	10.922	11.405
74.5	7.510	7.796	8.381	9.186	10.102	10.944	11.428
74.6	7.526	7.812	8.399	9.205	10.122	10.966	11.450
74.7	7.541	7.828	8.416	9.223	10.142	10.987	11.473
74.8	7.556	7.844	8.433	9.242	10.163	11.009	11.496
74.9	7.572	7.860	8.449	9.260	10.183	11.031	11.518
75.0	7.587	7.876	8.466	9.279	10.203	11.052	11.540
75.1	7.602	7.891	8.483	9.297	10.223	11.074	11.563
75.2	7.617	7.907	8.500	9.315	10.243	11.096	11.585
75.3	7.632	7.923	8.517	9.334	10.263	11.117	11.608
75.4	7.648	7.939	8.534	9.352	10.283	11.139	11.630
75.5	7.663	7.954	8.551	9.370	10.303	11.160	11.652
75.6	7.678	7.970	8.567	9.389	10.323	11.182	11.675
75.7	7.693	7.986	8.584	9.407	10.343	11.203	11.697
75.8	7.708	8.002	8.601	9.425	10.363	11.224	11.720
75.9	7.724	8.017	8.618	9.444	10.383	11.246	11.742
76.0	7.739	8.033	8.635	9.462	10.403	11.268	11.764
76.1	7.754	8.049	8.651	9.480	10.423	11.289	11.786
76.2	7.769	8.064	8.668	9.498	10.443	11.310	11.809
76.3	7.784	8.080	8.685	9.517	10.463	11.332	11.831
76.4	7.800	8.096	8.702	9.535	10.483	11.353	11.854
76.5	7.815	8.112	8.719	9.553	10.503	11.375	11.876
76.6	7.830	8.127	8.736	9.572	10.523	11.397	11.899
76.7	7.845	8.143	8.753	9.590	10.543	11.418	11.921
76.8	7.861	8.159	8.770	9.609	10.563	11.440	11.944
76.9	7.876	8.175	8.787	9.627	10.583	11.462	11.966
77.0	7.891	8.191	8.804	9.646	10.603	11.483	11.989
77.1	7.907	8.207	8.821	9.664	10.624	11.505	12.012
77.2	7.922	8.223	8.838	9.683	10.644	11.527	12.034
77.3	7.938	8.239	8.855	9.702	10.664	11.549	12.057
77.4	7.953	8.255	8.872	9.720	10.685	11.571	12.080
77.5	7.969	8.271	8.889	9.739	10.705	11.593	12.103
77.6	7.985	8.288	8.907	9.758	10.726	11.615	12.126
77.7	8.000	8.304	8.924	9.777	10.746	11.637	12.149
77.8	8.016	8.320	8.942	9.796	10.767	11.660	12.172
77.9	8.032	8.336	8.959	9.815	10.788	11.682	12.195
78.0	8.048	8.353	8.977	9.834	10.809	11.704	12.219
78.1	8.064	8.369	8.994	9.853	10.830	11.727	12.242
78.2	8.080	8.386	9.012	9.872	10.850	11.749	12.265
78.3	8.096	8.402	9.030	9.892	10.872	11.772	12.289
78.4	8.112	8.419	9.047	9.911	10.893	11.795	12.313
78.5	8.128	8.436	9.065	9.930	10.914	11.818	12.337
78.6	8.144	8.453	9.083	9.950	10.935	11.841	12.360
78.7	8.160	8.469	9.101	9.970	10.957	11.864	12.384
78.8	8.177	8.486	9.119	9.989	10.978	11.887	12.409
78.9	8.193	8.503	9.137	10.009	11.000	11.910	12.433
79.0	8.210	8.520	9.156	10.029	11.021	11.933	12.457
79.1	8.226	8.538	9.174	10.049	11.043	11.957	12.481
79.2	8.243	8.555	9.193	10.069	11.065	11.981	12.506
79.3	8.259	8.572	9.211	10.089	11.087	12.004	12.531
79.4	8.276	8.589	9.230	10.109	11.109	12.028	12.556
79.5	8.293	8.607	9.249	10.130	11.132	12.052	12.580
79.6	8.310	8.625	9.267	10.150	11.154	12.076	12.606
79.7	8.327	8.642	9.286	10.171	11.177	12.100	12.631
79.8	8.344	8.660	9.305	10.192	11.199	12.125	12.656
79.9	8.362	8.678	9.324	10.212	11.222	12.149	12.682
80.0	8.379	8.696	9.343	10.233	11.245	12.174	12.707
80.1	8.396	8.714	9.363	10.254	11.267	12.198	12.733
80.2	8.414	8.732	9.382	10.275	11.291	12.223	12.759
80.3	8.431	8.750	9.402	10.296	11.314	12.248	12.785
80.4	8.449	8.768	9.421	10.318	11.337	12.273	12.811
80.5	8.467	8.787	9.441	10.339	11.361	12.298	12.837
80.6	8.485	8.805	9.461	10.361	11.384	12.324	12.863
80.7	8.502	8.824	9.480	10.382	11.408	12.349	12.890
80.8	8.520	8.842	9.500	10.404	11.431	12.375	12.916
80.9	8.538	8.861	9.520	10.426	11.455	12.400	12.943
81.0	8.556	8.880	9.540	10.448	11.479	12.426	12.970
81.1	8.575	8.899	9.560	10.470	11.503	12.452	12.997
81.2	8.593	8.918	9.581	10.492	11.527	12.478	13.024
81.3	8.611	8.937	9.601	10.514	11.551	12.504	13.051
81.4	8.630	8.956	9.622	10.536	11.576	12.531	13.079
81.5	8.648	8.975	9.642	10.559	11.600	12.557	13.106
81.6	8.667	8.994	9.663	10.581	11.625	12.583	13.134
81.7	8.685	9.013	9.683	10.604	11.650	12.610	13.162
81.8	8.704	9.033	9.704	10.626	11.674	12.637	13.189
81.9	8.723	9.052	9.725	10.649	11.699	12.664	13.217
82.0	8.742	9.072	9.746	10.672	11.724	12.691	13.245
82.1	8.761	9.091	9.767	10.695	11.749	12.718	13.273
82.2	8.780	9.111	9.788	10.718	11.774	12.745	13.302
82.3	8.799	9.131	9.809	10.741	11.800	12.772	13.330
82.4	8.818	9.151	9.830	10.764	11.825	12.799	13.359
82.5	8.837	9.171	9.852	10.787	11.851	12.827	13.387
82.6	8.857	9.191	9.873	10.811	11.876	12.854	13.416
82.7	8.876	9.211	9.895	10.834	11.902	12.882	13.445
82.8	8.895	9.231	9.916	10.858	11.928	12.910	13.474
82.9	8.915	9.251	9.938	10.881	11.953	12.938	13.503
83.0	8.934	9.271	9.960	10.905	11.980	12.966	13.532
83.1	8.954	9.292	9.981	10.929	12.006	12.994	13.561
83.2	8.974	9.312	10.003	10.953	12.032	13.022	13.591
83.3	8.993	9.332	10.025	10.977	12.058	13.051	13.620
83.4	9.013	9.353	10.047	11.001	12.084	13.079	13.650
83.5	9.033	9.373	10.069	11.025	12.111	13.108	13.680
83.6	9.053	9.394	10.091	11.049	12.137	13.136	13.709
83.7	9.073	9.415	10.113	11.073	12.164	13.165	13.739
83.8	9.093	9.435	10.136	11.097	12.190	13.193	13.769
83.9	9.113	9.456	10.158	11.122	12.217	13.222	13.799
84.0	9.133	9.477	10.180	11.146	12.244	13.251	13.829
84.1	9.153	9.498	10.203	11.171	12.270	13.280	13.860
84.2	9.173	9.519	10.225	11.195	12.297	13.309	13.890
84.3	9.193	9.540	10.248	11.220	12.324	13.338	13.920
84.4	9.214	9.561	10.270	11.244	12.351	13.368	13.951
84.5	9.234	9.582	10.293	11.269	12.378	13.397	13.981
84.6	9.254	9.603	10.315	11.294	12.406	13.426	14.012
84.7	9.275	9.624	10.338	11.319	12.433	13.456	14.043
84.8	9.295	9.645	10.361	11.344	12.460	13.485	14.073
84.9	9.316	9.667	10.384	11.368	12.487	13.514	14.104
85.0	9.336	9.688	10.406	11.393	12.515	13.544	14.135
85.1	9.356	9.709	10.429	11.418	12.542	13.574	14.166
85.2	9.377	9.730	10.452	11.443	12.570	13.604	14.197
85.3	9.398	9.752	10.475	11.468	12.597	13.633	14.228
85.4	9.418	9.773	10.498	11.494	12.625	13.663	14.259
85.5	9.439	9.794	10.521	11.519	12.652	13.693	14.290
85.6	9.459	9.816	10.544	11.544	12.680	13.723	14.321
85.7	9.480	9.837	10.567	11.569	12.707	13.753	14.352
85.8	9.501	9.859	10.590	11.594	12.735	13.782	14.384
85.9	9.521	9.880	10.613	11.619	12.763	13.812	14.415
86.0	9.542	9.901	10.636	11.644	12.790	13.842	14.446
86.1	9.563	9.923	10.659	11.670	12.818	13.872	14.477
86.2	9.583	9.944	10.682	11.695	12.846	13.902	14.509
86.3	9.604	9.966	10.705	11.720	12.873	13.932	14.540
86.4	9.625	9.987	10.728	11.745	12.901	13.962	14.571
86.5	9.645	10.009	10.751	11.770	12.929	13.992	14.603
86.6	9.666	10.030	10.774	11.796	12.956	14.022	14.634
86.7	9.687	10.051	10.797	11.821	12.984	14.052	14.665
86.8	9.707	10.073	10.820	11.846	13.012	14.082	14.696
86.9	9.728	10.094	10.843	11.871	13.040	14.112	14.728
87.0	9.748	10.116	10.866	11.896	13.067	14.142	14.759
87.1	9.769	10.137	10.889	11.922	13.095	14.172	14.790
87.2	9.789	10.158	10.912	11.947	13.123	14.202	14.822
87.3	9.810	10.180	10.935	11.972	13.150	14.232	14.853
87.4	9.831	10.201	10.958	11.997	13.178	14.262	14.884
87.5	9.851	10.222	10.981	12.022	13.206	14.292	14.916
87.6	9.872	10.244	11.004	12.047	13.233	14.322	14.947
87.7	9.892	10.265	11.026	12.072	13.261	14.352	14.978
87.8	9.913	10.286	11.049	12.098	13.288	14.382	15.009
87.9	9.933	10.308	11.072	12.123	13.316	14.412	15.041
88.0	9.954	10.329	11.095	12.148	13.344	14.442	15.072
88.1	9.974	10.350	11.118	12.173	13.371	14.472	15.103
88.2	9.994	10.371	11.141	12.198	13.399	14.502	15.135
88.3	10.015	10.392	11.164	12.223	13.426	14.531	15.166
88.4	10.035	10.413	11.186	12.248	13.454	14.561	15.197
88.5	10.056	10.435	11.209	12.273	13.481	14.591	15.228
88.6	10.076	10.456	11.232	12.298	13.509	14.621	15.259
88.7	10.096	10.477	11.255	12.323	13.536	14.651	15.290
88.8	10.116	10.498	11.277	12.348	13.564	14.681	15.322
88.9	10.137	10.519	11.300	12.373	13.591	14.710	15.353
89.0	10.157	10.540	11.323	12.398	13.619	14.740	15.384
89.1	10.178	10.561	11.345	12.422	13.646	14.770	15.415
89.2	10.198	10.582	11.368	12.447	13.674	14.800	15.446
89.3	10.218	10.603	11.391	12.472	13.701	14.830	15.477
89.4	10.238	10.624	11.413	12.497	13.728	14.859	15.508
89.5	10.258	10.645	11.436	12.522	13.756	14.889	15.540
89.6	10.278	10.666	11.459	12.547	13.783	14.919	15.571
89.7	10.299	10.687	11.481	12.572	13.811	14.949	15.602
89.8	10.319	10.708	11.504	12.596	13.838	14.978	15.633
89.9	10.339	10.729	11.526	12.621	13.866	15.008	15.664
90.0	10.359	10.750	11.549	12.646	13.893	15.038	15.695
90.1	10.379	10.771	11.571	12.671	13.920	15.068	15.726
90.2	10.400	10.792	11.594	12.696	13.948	15.097	15.757
90.3	10.420	10.813	11.617	12.720	13.975	15.127	15.788
90.4	10.440	10.834	11.639	12.745	14.002	15.157	15.819
90.5	10.460	10.855	11.662	12.770	14.030	15.186	15.850
90.6	10.480	10.876	11.684	12.795	14.057	15.216	15.882
90.7	10.500	10.896	11.707	12.820	14.084	15.246	15.913
90.8	10.520	10.917	11.729	12.844	14.112	15.276	15.944
90.9	10.540	10.938	11.752	12.869	14.139	15.306	15.975
91.0	10.560	10.959	11.774	12.894	14.167	15.335	16.006
91.1	10.580	10.980	11.797	12.919	14.194	15.365	16.037
91.2	10.600	11.001	11.819	12.943	14.221	15.395	16.069
91.3	10.620	11.021	11.842	12.968	14.249	15.424	16.100
91.4	10.640	11.042	11.864	12.993	14.276	15.454	16.131
91.5	10.660	11.063	11.887	13.018	14.303	15.484	16.162
91.6	10.680	11.084	11.909	13.042	14.331	15.514	16.193
91.7	10.700	11.105	11.932	13.067	14.358	15.544	16.224
91.8	10.721	11.126	11.954	13.092	14.385	15.573	16.256
91.9	10.740	11.146	11.976	13.117	14.413	15.603	16.287
92.0	10.760	11.167	11.999	13.142	14.440	15.633	16.318
92.1	10.780	11.188	12.021	13.166	14.468	15.663	16.349
92.2	10.800	11.209	12.044	13.191	14.495	15.693	16.381
92.3	10.820	11.230	12.066	13.216	14.522	15.723	16.412
92.4	10.840	11.250	12.089	13.241	14.550	15.753	16.443
92.5	10.860	11.271	12.111	13.265	14.577	15.783	16.475
92.6	10.880	11.292	12.134	13.290	14.605	15.812	16.506
92.7	10.900	11.313	12.156	13.315	14.632	15.843	16.538
92.8	10.920	11.334	12.179	13.340	14.660	15.872	16.569
92.9	10.941	11.355	12.201	13.365	14.687	15.902	16.600
93.0	10.960	11.375	12.224	13.390	14.715	15.933	16.632
93.1	10.981	11.396	12.246	13.414	14.742	15.963	16.663
93.2	11.000	11.417	12.269	13.439	14.770	15.993	16.695
93.3	11.021	11.438	12.292	13.464	14.798	16.023	16.726
93.4	11.041	11.459	12.314	13.489	14.825	16.053	16.758
93.5	11.061	11.480	12.337	13.514	14.853	16.083	16.789
93.6	11.081	11.501	12.359	13.539	14.881	16.113	16.821
93.7	11.101	11.522	12.382	13.564	14.908	16.143	16.853
93.8	11.121	11.543	12.405	13.589	14.936	16.174	16.884
93.9	11.141	11.564	12.427	13.614	14.964	16.204	16.916
94.0	11.161	11.585	12.450	13.639	14.992	16.235	16.948
94.1	11.182	11.606	12.473	13.664	15.020	16.265	16.980
94.2	11.202	11.627	12.495	13.690	15.047	16.295	17.012
94.3	11.222	11.648	12.518	13.715	15.075	16.326	17.044
94.4	11.242	11.669	12.541	13.740	15.103	16.356	17.076
94.5	11.262	11.690	12.564	13.765	15.131	16.387	17.108
94.6	11.283	11.711	12.587	13.790	15.159	16.417	17.140
94.7	11.303	11.732	12.609	13.816	15.187	16.448	17.172
94.8	11.323	11.753	12.632	13.841	15.215	16.479	17.204
94.9	11.343	11.774	12.655	13.866	15.244	16.510	17.237
95.0	11.364	11.795	12.678	13.891	15.272	16.540	17.269
95.1	11.384	11.816	12.701	13.917	15.300	16.571	17.301
95.2	11.404	11.838	12.724	13.942	15.328	16.602	17.333
95.3	11.424	11.859	12.747	13.968	15.356	16.633	17.366
95.4	11.445	11.880	12.770	13.993	15.385	16.664	17.399
95.5	11.465	11.901	12.793	14.019	15.413	16.694	17.431
95.6	11.486	11.923	12.816	14.044	15.441	16.725	17.463
95.7	11.506	11.944	12.839	14.070	15.470	16.757	17.496
95.8	11.527	11.965	12.862	14.095	15.498	16.788	17.529
95.9	11.547	11.987	12.885	14.121	15.527	16.819	17.561
96.0	11.568	12.008	12.908	14.147	15.555	16.850	17.594
96.1	11.588	12.029	12.932	14.172	15.584	16.882	17.627
96.2	11.609	12.051	12.955	14.198	15.613	16.913	17.660
96.3	11.629	12.072	12.978	14.224	15.641	16.944	17.693
96.4	11.650	12.094	13.002	14.250	15.670	16.976	17.726
96.5	11.671	12.115	13.025	14.276	15.699	17.007	17.759
96.6	11.691	12.137	13.048	14.302	15.728	17.039	17.792
96.7	11.712	12.159	13.072	14.328	15.757	17.071	17.826
96.8	11.733	12.180	13.095	14.354	15.786	17.102	17.859
96.9	11.754	12.202	13.119	14.380	15.815	17.134	17.892
97.0	11.774	12.224	13.142	14.406	15.844	17.166	17.926
97.1	11.795	12.245	13.166	14.432	15.873	17.198	17.960
97.2	11.816	12.267	13.190	14.458	15.902	17.230	17.993
97.3	11.837	12.289	13.214	14.485	15.932	17.262	18.027
97.4	11.858	12.311	13.237	14.511	15.961	17.295	18.061
97.5	11.879	12.333	13.261	14.538	15.991	17.327	18.095
97.6	11.900	12.355	13.285	14.564	16.020	17.360	18.129
97.7	11.922	12.377	13.309	14.591	16.050	17.392	18.163
97.8	11.943	12.399	13.333	14.617	16.080	17.425	18.198
97.9	11.964	12.421	13.357	14.644	16.109	17.457	18.232
98.0	11.985	12.444	13.381	14.671	16.139	17.490	18.266
98.1	12.007	12.466	13.405	14.698	16.169	17.523	18.301
98.2	12.028	12.488	13.430	14.725	16.199	17.556	18.336
98.3	12.050	12.511	13.454	14.752	16.230	17.589	18.370
98.4	12.071	12.533	13.478	14.779	16.260	17.622	18.405
98.5	12.093	12.556	13.503	14.806	16.290	17.655	18.440
98.6	12.114	12.578	13.527	14.833	16.321	17.689	18.476
98.7	12.136	12.601	13.552	14.861	16.351	17.722	18.511
98.8	12.158	12.623	13.577	14.888	16.382	17.756	18.546
98.9	12.179	12.646	13.601	14.916	16.412	17.790	18.581
99.0	12.201	12.669	13.626	14.943	16.443	17.824	18.617
99.1	12.223	12.692	13.651	14.971	16.474	17.857	18.653
99.2	12.245	12.715	13.676	14.999	16.505	17.892	18.689
99.3	12.267	12.738	13.701	15.027	16.536	17.926	18.724
99.4	12.290	12.761	13.726	15.055	16.568	17.960	18.761
99.5	12.312	12.784	13.752	15.083	16.599	17.995	18.797
99.6	12.334	12.808	13.777	15.111	16.630	18.029	18.833
99.7	12.356	12.831	13.802	15.139	16.662	18.064	18.870
99.8	12.379	12.854	13.828	15.168	16.694	18.099	18.907
99.9	12.401	12.878	13.853	15.196	16.725	18.133	18.943
100.0	12.424	12.902	13.879	15.225	16.758	18.169	18.980
100.1	12.446	12.925	13.905	15.253	16.790	18.204	19.017
100.2	12.469	12.949	13.931	15.282	16.821	18.239	19.054
100.3	12.492	12.973	13.957	15.311	16.854	18.274	19.091
100.4	12.515	12.997	13.982	15.340	16.886	18.310	19.129
100.5	12.538	13.021	14.008	15.369	16.919	18.346	19.167
100.6	12.561	13.045	14.035	15.398	16.951	18.382	19.204
100.7	12.584	13.069	14.061	15.427	16.984	18.417	19.242
100.8	12.607	13.093	14.087	15.456	17.017	18.453	19.280
100.9	12.630	13.117	14.114	15.486	17.050	18.490	19.318
101.0	12.654	13.142	14.140	15.515	17.083	18.526	19.356
101.1	12.677	13.166	14.167	15.545	17.116	18.563	19.395
101.2	12.700	13.190	14.193	15.575	17.149	18.599	19.433
101.3	12.724	13.215	14.220	15.605	17.183	18.636	19.472
101.4	12.747	13.240	14.247	15.634	17.216	18.673	19.511
101.5	12.771	13.264	14.274	15.665	17.250	18.710	19.550
101.6	12.795	13.289	14.301	15.695	17.283	18.747	19.588
101.7	12.819	13.314	14.328	15.725	17.317	18.784	19.628
101.8	12.843	13.339	14.356	15.755	17.351	18.821	19.667
101.9	12.867	13.364	14.383	15.786	17.385	18.859	19.707
102.0	12.891	13.389	14.410	15.816	17.420	18.897	19.747
102.1	12.915	13.415	14.438	15.847	17.454	18.935	19.787
102.2	12.939	13.440	14.465	15.878	17.489	18.973	19.827
102.3	12.963	13.465	14.493	15.909	17.523	19.011	19.867
102.4	12.988	13.491	14.521	15.940	17.558	19.049	19.907
102.5	13.012	13.516	14.549	15.971	17.593	19.087	19.947
102.6	13.037	13.542	14.577	16.002	17.627	19.125	19.988
102.7	13.062	13.568	14.605	16.033	17.663	19.164	20.028
102.8	13.086	13.594	14.633	16.064	17.698	19.203	20.069
102.9	13.111	13.620	14.661	16.096	17.733	19.241	20.110
103.0	13.136	13.645	14.689	16.128	17.768	19.281	20.151
103.1	13.161	13.671	14.718	16.159	17.804	19.320	20.192
103.2	13.186	13.698	14.746	16.191	17.839	19.359	20.233
103.3	13.211	13.724	14.775	16.223	17.875	19.398	20.275
103.4	13.236	13.750	14.803	16.255	17.911	19.438	20.317
103.5	13.261	13.776	14.832	16.287	17.947	19.478	20.359
103.6	13.286	13.803	14.861	16.319	17.983	19.517	20.400
103.7	13.312	13.829	14.890	16.351	18.019	19.557	20.442
103.8	13.337	13.856	14.919	16.384	18.056	19.597	20.485
103.9	13.362	13.882	14.948	16.416	18.092	19.637	20.527
104.0	13.388	13.909	14.977	16.449	18.129	19.677	20.569
104.1	13.413	13.936	15.006	16.481	18.165	19.718	20.612
104.2	13.439	13.963	15.035	16.514	18.202	19.758	20.655
104.3	13.465	13.990	15.065	16.547	18.239	19.799	20.697
104.4	13.491	14.017	15.094	16.580	18.276	19.840	20.741
104.5	13.517	14.044	15.124	16.613	18.313	19.881	20.784
104.6	13.543	14.071	15.154	16.646	18.350	19.922	20.827
104.7	13.569	14.098	15.183	16.680	18.388	19.963	20.870
104.8	13.595	14.126	15.213	16.713	18.425	20.004	20.914
104.9	13.621	14.153	15.243	16.746	18.463	20.046	20.958
105.0	13.648	14.181	15.273	16.780	18.500	20.087	21.001
105.1	13.674	14.208	15.303	16.814	18.538	20.129	21.046
105.2	13.700	14.236	15.334	16.848	18.576	20.171	21.090
105.3	13.727	14.264	15.364	16.881	18.614	20.213	21.134
105.4	13.754	14.292	15.394	16.915	18.652	20.255	21.178
105.5	13.780	14.320	15.425	16.950	18.691	20.298	21.223
105.6	13.807	14.348	15.456	16.984	18.729	20.340	21.268
105.7	13.834	14.376	15.486	17.018	18.768	20.383	21.313
105.8	13.861	14.404	15.517	17.053	18.807	20.425	21.358
105.9	13.888	14.432	15.548	17.087	18.846	20.468	21.403
106.0	13.915	14.461	15.579	17.122	18.884	20.511	21.449
106.1	13.942	14.489	15.610	17.157	18.924	20.555	21.494
106.2	13.970	14.518	15.641	17.192	18.963	20.598	21.540
106.3	13.997	14.547	15.673	17.227	19.002	20.642	21.586
106.4	14.025	14.575	15.704	17.262	19.042	20.685	21.632
106.5	14.052	14.604	15.736	17.297	19.082	20.729	21.678
106.6	14.080	14.633	15.767	17.333	19.121	20.773	21.725
106.7	14.108	14.662	15.799	17.368	19.162	20.817	21.771
106.8	14.136	14.692	15.831	17.404	19.201	20.861	21.818
106.9	14.163	14.721	15.863	17.440	19.242	20.906	21.865
107.0	14.191	14.750	15.895	17.476	19.282	20.950	21.912
107.1	14.220	14.779	15.927	17.512	19.322	20.995	21.959
107.2	14.248	14.809	15.959	17.548	19.363	21.040	22.006
107.3	14.276	14.839	15.992	17.584	19.404	21.085	22.054
107.4	14.305	14.868	16.024	17.620	19.445	21.130	22.101
107.5	14.333	14.898	16.057	17.657	19.486	21.175	22.149
107.6	14.361	14.928	16.089	17.693	19.527	21.221	22.197
107.7	14.390	14.958	16.122	17.730	19.568	21.266	22.246
107.8	14.419	14.988	16.155	17.767	19.610	21.312	22.294
107.9	14.448	15.018	16.188	17.804	19.651	21.358	22.342
108.0	14.476	15.048	16.221	17.841	19.693	21.404	22.391
108.1	14.505	15.079	16.254	17.878	19.735	21.450	22.440
108.2	14.535	15.109	16.288	17.915	19.777	21.497	22.488
108.3	14.564	15.140	16.321	17.953	19.819	21.543	22.538
108.4	14.593	15.170	16.354	17.990	19.861	21.590	22.587
108.5	14.622	15.201	16.388	18.028	19.903	21.637	22.636
